#{"t_start": 1744979297.9210398, "env_id": "None"}
r,l,t
0.0,1,11.582558
0.0,1,11.609586
0.0,1,11.641557
0.0,1,11.67456
0.0,1,11.708559
0.0,1,11.743558
0.0,1,11.772559
0.0,1,11.798584
0.0,1,11.827558
0.0,1,11.857584
0.0,1,11.88956
0.0,1,11.916562
0.0,1,11.945575
0.0,1,11.98256
0.0,1,12.011585
0.0,1,12.038562
0.0,1,12.068564
0.0,1,12.097563
0.0,1,12.125561
0.0,1,12.153561
0.0,1,12.182562
0.0,1,12.210561
0.0,1,12.237566
0.0,1,12.268563
0.0,1,12.298596
0.0,1,12.326564
0.0,1,12.352566
0.0,1,12.381562
0.0,1,12.414565
0.0,1,12.444562
0.0,1,12.473562
0.0,1,12.500564
0.0,1,12.531582
0.0,1,12.563563
0.0,1,12.593565
0.0,1,12.624568
0.0,1,12.651571
0.0,1,12.678563
0.0,1,12.704592
0.0,1,12.781565
0.0,1,12.811565
0.0,1,12.839567
0.0,1,12.871566
0.0,1,12.903566
0.0,1,12.930591
0.0,1,12.963565
0.0,1,12.995569
0.0,1,13.02559
0.0,1,13.0546
0.0,1,13.085576
0.0,1,13.112592
0.0,1,13.142567
0.0,1,13.173598
0.0,1,13.209569
0.0,1,13.240581
0.0,1,13.270567
0.0,1,13.298568
0.0,1,13.324594
0.0,1,13.34957
0.0,1,13.37457
0.0,1,13.400588
0.0,1,13.427596
0.0,1,13.453593
0.0,1,13.486597
0.0,1,13.51457
0.0,1,13.539568
0.0,1,13.563595
0.0,1,13.588595
0.0,1,13.613569
0.0,1,13.642595
0.0,1,13.66757
0.0,1,13.692571
0.0,1,13.716596
0.0,1,13.749573
0.0,1,13.775572
0.0,1,13.802595
0.0,1,13.833575
0.0,1,13.867576
0.0,1,13.894596
0.0,1,13.927574
0.0,1,13.961577
0.0,1,13.991574
0.0,1,14.021597
0.0,1,14.056598
0.0,1,14.089611
0.0,1,14.119572
0.0,1,14.146603
0.0,1,14.175573
0.0,1,14.205599
0.0,1,14.234573
0.0,1,14.263588
0.0,1,14.296573
0.0,1,14.325576
0.0,1,14.416574
0.0,1,14.446573
0.0,1,14.474598
0.0,1,14.502578
0.0,1,14.53559
0.0,1,14.565578
0.0,1,14.594575
0.0,1,14.623599
0.0,1,14.655577
0.0,1,14.685578
0.0,1,14.714579
0.0,1,14.742604
0.0,1,14.772576
0.0,1,14.800577
0.0,1,14.826576
0.0,1,14.852596
0.0,1,14.88059
0.0,1,14.907579
0.0,1,14.932602
0.0,1,14.95858
0.0,1,14.991581
0.0,1,15.017586
0.0,1,15.046578
0.0,1,15.075583
0.0,1,15.107578
0.0,1,15.135578
0.0,1,15.162578
0.0,1,15.189579
0.0,1,15.219579
0.0,1,15.245599
0.0,1,15.277579
0.0,1,15.307606
0.0,1,15.335589
0.0,1,15.363582
0.0,1,15.394579
0.0,1,15.428584
0.0,1,15.46058
0.0,1,15.490606
0.0,1,15.521615
0.0,1,15.55858
0.0,1,15.594607
0.0,1,15.626582
0.0,1,15.659584
